clspcoykvzwvsas-y-at-secas-01-asmbs-001

===============================k get node colorado==========================
NAME                                      STATUS   ROLES           AGE    VERSION
clspcoykvzwvsas-y-at-secas-01-asmbs-001   Ready    control-plane   492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmbs-002   Ready    control-plane   492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmbs-003   Ready    control-plane   492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-001   Ready    worker          492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-002   Ready    worker          492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-003   Ready    worker          492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-004   Ready    worker          492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-005   Ready    worker          492d   v1.27.6
clspcoykvzwvsas-y-at-secas-01-asmwr-006   Ready    worker          240d   v1.27.6
===============================k get pods colorado ==========================
NAMESPACE           NAME                                                              READY   STATUS      RESTARTS         AGE
openebs             openebs-jiva-csi-node-sxt2f                                       3/3     Running     0                240d
openebs             openebs-jiva-csi-node-xvv75                                       3/3     Running     9 (420d ago)     492d
openebs             openebs-jiva-operator-d8bddf49b-rqc44                             1/1     Running     2 (420d ago)     492d
openebs             openebs-localpv-provisioner-86f5d76fc-w72rj                       1/1     Running     276 (157d ago)   492d
openebs             openebs-nfs-provisioner-bf599b8cc-kcwqc                           1/1     Running     267 (157d ago)   492d
secure-management   accounts-d76c99947-p6rdh                                          3/3     Running     0                13h
secure-management   accounts-d76c99947-vdj7w                                          3/3     Running     0                13h
secure-management   api-account-6779558667-fvqgb                                      3/3     Running     0                13h
secure-management   api-account-6779558667-lvldg                                      3/3     Running     0                13h
secure-management   api-manager-55bd6d96d9-7zvpx                                      2/2     Running     0                6d7h
secure-management   api-manager-55bd6d96d9-jqbvt                                      2/2     Running     0                6d7h
secure-management   backup-and-restore-pv-controller-deployment-78897dd874-stfpd      2/2     Running     0                6d7h
secure-management   blockingpages-7d688887d5-nrj98                                    3/3     Running     0                13h
secure-management   blockingpages-7d688887d5-tscc7                                    3/3     Running     0                13h
secure-management   bucket-reader-599cbb48c5-plhsd                                    3/3     Running     0                13h
secure-management   bucket-reader-599cbb48c5-x5nst                                    3/3     Running     0                13h
secure-management   bucket-writer-864876b5c8-9gbk9                                    3/3     Running     0                13h
secure-management   bucket-writer-864876b5c8-x9tfp                                    3/3     Running     0                13h
secure-management   counters-5d94577985-m4bwm                                         3/3     Running     0                13h
secure-management   create-kafka-topics-job-k96n6                                     0/3     Completed   0                6d7h
secure-management   customconfig-7c4476cdf5-2bfpp                                     3/3     Running     0                13h
secure-management   customconfig-7c4476cdf5-m6sq4                                     3/3     Running     0                13h
secure-management   customization-7d7bbdc6bd-d5vqh                                    3/3     Running     0                13h
secure-management   customization-7d7bbdc6bd-xlrm5                                    3/3     Running     0                13h
secure-management   dwh-migrator-sc9t6                                                0/4     Completed   0                6d7h
secure-management   emailgateway-76988f8977-9ggzx                                     3/3     Running     0                13h
secure-management   emailgateway-76988f8977-pmsdm                                     3/3     Running     0                13h
secure-management   envoy-egressproxy-externalservices-54957b6669-vg4kx               2/2     Running     0                6d7h
secure-management   frontend-6dfb48564b-7f9vq                                         2/2     Running     0                13h
secure-management   frontend-6dfb48564b-hfxrm                                         2/2     Running     0                13h
secure-management   frontend-provider-5f6d47c8c7-j9crq                                3/3     Running     1 (13h ago)      13h
secure-management   frontend-provider-5f6d47c8c7-s4p7z                                3/3     Running     1 (13h ago)      13h
secure-management   frontend-single-sign-on-75dbc8c58c-4dd5z                          3/3     Running     1 (13h ago)      13h
secure-management   frontend-single-sign-on-75dbc8c58c-qd2wp                          3/3     Running     1 (13h ago)      13h
secure-management   gateway-isp-576f9d76f5-d9dwq                                      3/3     Running     0                13h
secure-management   gateway-isp-576f9d76f5-wbjsz                                      3/3     Running     0                13h
secure-management   gdpr-0                                                            3/3     Running     0                6d7h
secure-management   identity-695cbb684b-msv8g                                         3/3     Running     0                13h
secure-management   identity-695cbb684b-ww4d8                                         3/3     Running     0                13h
secure-management   identity-isp-796854b67f-948nd                                     3/3     Running     0                13h
secure-management   identity-isp-796854b67f-vgzmc                                     3/3     Running     0                13h
secure-management   kafka-0                                                           3/3     Running     0                6d7h
secure-management   kafka-1                                                           3/3     Running     0                6d7h
secure-management   kafka-2                                                           3/3     Running     0                6d7h
secure-management   kafka-exporter-ff665fd4-2tkcv                                     2/2     Running     5 (6d7h ago)     6d7h
secure-management   kiali-69887c69cd-64fhk                                            2/2     Running     0                6d6h
secure-management   kiali-69887c69cd-b8n9l                                            2/2     Running     0                6d6h
secure-management   lccadaptor-85956bd4d-9ptrn                                        3/3     Running     0                13h
secure-management   lccadaptor-85956bd4d-mfj6r                                        3/3     Running     0                13h
secure-management   mongodb-0                                                         6/6     Running     0                6d7h
secure-management   mongodb-1                                                         6/6     Running     0                6d7h
secure-management   mongodb-2                                                         6/6     Running     0                6d7h
secure-management   networksecure-adaptor-5f66cc4c7b-2k654                            3/3     Running     0                13h
secure-management   networksecure-adaptor-5f66cc4c7b-5m4nv                            3/3     Running     0                13h
secure-management   networksecure-adaptor-5f66cc4c7b-8vc48                            3/3     Running     0                13h
secure-management   networksecure-adaptor-5f66cc4c7b-cnhqw                            3/3     Running     0                13h
secure-management   networksecure-adaptor-5f66cc4c7b-d68vg                            3/3     Running     0                13h
secure-management   networksecure-adaptor-5f66cc4c7b-jpbfw                            3/3     Running     0                13h
secure-management   networksecure-adaptor-5f66cc4c7b-mvgfh                            3/3     Running     0                13h
secure-management   networksecure-adaptor-5f66cc4c7b-vj9kd                            3/3     Running     0                13h
secure-management   notifications-5b6bcf9879-67rmp                                    3/3     Running     0                13h
secure-management   notifications-5b6bcf9879-l8djj                                    3/3     Running     0                13h
secure-management   nsclient-8c447c46d-99bzd                                          3/3     Running     0                13h
secure-management   nsclient-8c447c46d-fxb9p                                          3/3     Running     0                13h
secure-management   nsclient-8c447c46d-mphxm                                          3/3     Running     0                13h
secure-management   nsclient-8c447c46d-pdc9k                                          3/3     Running     0                13h
secure-management   nsclient-8c447c46d-ss97g                                          3/3     Running     0                13h
secure-management   periodic-reports-5c8d8bc995-vllks                                 3/3     Running     0                13h
secure-management   periodic-reports-5c8d8bc995-w2t2x                                 3/3     Running     0                13h
secure-management   prometheus-subsystems-config-reloader-29656255-ztsls              0/3     Completed   0                4m43s
secure-management   push-native-7b5767dd54-9ctsb                                      4/4     Running     0                13h
secure-management   push-native-7b5767dd54-dc422                                      4/4     Running     0                13h
secure-management   pv-cleanup--clspcoykvzwvsas-y-at-secas-01-asmwr-001               0/3     Completed   0                303d
secure-management   pv-cleanup--clspcoykvzwvsas-y-at-secas-01-asmwr-002               0/3     Completed   0                14h
secure-management   pv-cleanup--clspcoykvzwvsas-y-at-secas-01-asmwr-003               0/3     Completed   0                9d
secure-management   pv-cleanup--clspcoykvzwvsas-y-at-secas-01-asmwr-004               0/3     Completed   0                5d14h
secure-management   pv-cleanup--clspcoykvzwvsas-y-at-secas-01-asmwr-005               0/3     Completed   0                343d
secure-management   redis-check-29656245-kh5hx                                        0/4     Completed   0                14m
secure-management   redis-cluster-0                                                   4/4     Running     0                6d7h
secure-management   redis-cluster-1                                                   4/4     Running     0                6d7h
secure-management   redis-cluster-2                                                   4/4     Running     0                6d7h
secure-management   redis-cluster-3                                                   4/4     Running     0                6d7h
secure-management   redis-cluster-4                                                   4/4     Running     0                6d7h
secure-management   redis-cluster-5                                                   4/4     Running     0                6d7h
secure-management   reports-7d4f5c977d-5d75w                                          3/3     Running     0                13h
secure-management   reports-7d4f5c977d-8kcz8                                          3/3     Running     0                13h
secure-management   restore-sm-restore-lbzx2                                          0/8     Completed   0                14h
secure-management   sm-backup-restore-operator-7c5d59b5d-s2rhh                        3/3     Running     0                6d7h
secure-management   sm-geo-manager-operator-7fc548b5c5-8b9m5                          3/3     Running     0                6d7h
secure-management   sm-lb-istio-ingressgateway-default-5df6855df4-6h9qx               1/1     Running     0                6d7h
secure-management   sm-lb-istio-ingressgateway-default-5df6855df4-bmjnn               1/1     Running     0                6d7h
secure-management   smsgateway-fd64b497d-8g7t6                                        3/3     Running     0                13h
secure-management   smsgateway-fd64b497d-ls54c                                        3/3     Running     0                13h
secure-management   snmpagent-8cbd6477d-74nft                                         2/2     Running     0                13h
secure-management   snmpagent-8cbd6477d-fbtxt                                         2/2     Running     0                13h
secure-management   subsystemssupervisor-6d45847c8f-79bpx                             3/3     Running     0                13h
secure-management   subsystemssupervisor-6d45847c8f-kbx28                             3/3     Running     0                13h
secure-management   zookeeper-0                                                       2/2     Running     0                6d7h
secure-management   zookeeper-1                                                       2/2     Running     0                6d7h
secure-management   zookeeper-2                                                       2/2     Running     0                6d7h
sm-infra            alertmanager-ps-alertmanager-0                                    2/2     Running     4 (420d ago)     459d
sm-infra            alertmanager-ps-alertmanager-1                                    2/2     Running     4 (420d ago)     459d
sm-infra            elasticsearch-curator-29656080-zkdtp                              0/1     Completed   0                179m
sm-infra            elasticsearch-curator-29656140-5tjnq                              0/1     Completed   0                119m
sm-infra            elasticsearch-curator-29656200-78knt                              0/1     Completed   0                59m
sm-infra            envoy-egressproxy-public-externalservices-59987f4c-pt4nr          2/2     Running     0                6d8h
sm-infra            fluentd-kafka-47p25                                               1/1     Running     14 (219d ago)    459d
sm-infra            fluentd-kafka-6zcfq                                               1/1     Running     19 (219d ago)    459d
sm-infra            fluentd-kafka-jbfz6                                               1/1     Running     24 (219d ago)    459d
sm-infra            fluentd-kafka-q4lk7                                               1/1     Running     20 (219d ago)    459d
sm-infra            fluentd-kafka-rbmcq                                               1/1     Running     18 (219d ago)    240d
sm-infra            fluentd-kafka-w4h2x                                               1/1     Running     18 (219d ago)    459d
sm-infra            grafana-5bdd4fcd65-5vc9x                                          4/4     Running     24 (6d8h ago)    6d8h
sm-infra            grafana-5bdd4fcd65-wb6dd                                          4/4     Running     0                6d8h
sm-infra            kibana-saved-objects-job-5vhb8                                    0/1     Completed   0                6d8h
